time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T19:48:52.390Z,38.821167,-122.7884979,2.23,0.76,md,8,84,0.00998,0.01,nc,nc73827616,2023-01-01T20:16:13.344Z,"6km NNW of The Geysers, CA",earthquake,0.7,1.61,0.19,8,automatic,nc,nc
2023-01-01T19:48:40.650Z,38.8208333,-122.7883333,1.82,0.44,md,16,76,0.009639,0.02,nc,nc73827611,2023-01-10T22:35:14.651Z,"6km NNW of The Geysers, CA",earthquake,0.25,0.45,0.495,2,reviewed,nc,nc
2023-01-01T19:37:15.835Z,15.7411,-92.2028,199.949,4.6,mb,95,67,0.541,0.73,us,us7000j1gs,2024-01-18T19:07:59.757Z,"1 km S of Nueva Libertad, Mexico",earthquake,6.37,4.897,0.039,195,reviewed,us,us
2023-01-01T19:35:38.108Z,-3.4567,131.0209,10,4.5,mb,30,67,1.337,0.61,us,us7000j1gt,2023-03-11T22:51:30.040Z,"233 km E of Amahai, Indonesia",earthquake,4.25,1.823,0.115,22,reviewed,us,us
2023-01-01T19:29:07.720Z,19.3308333333333,-155.131666666667,7,2.42,ml,25,107,,0.09,hv,hv73291042,2023-01-04T04:27:48.870Z,"14 km S of Fern Forest, Hawaii",earthquake,0.42,0.78,0.17674887297202,28,reviewed,hv,hv
2023-01-01T19:25:41.820Z,38.7821655,-122.7558365,1.4,0.82,md,9,79,0.01381,0.02,nc,nc73827606,2023-01-01T19:40:13.116Z,"0km N of The Geysers, CA",earthquake,0.31,0.66,0.3,9,automatic,nc,nc
2023-01-01T19:20:43.500Z,17.9581666666667,-66.9183333333333,14.42,2.1,md,7,206,0.04081,0.11,pr,pr71390258,2023-01-01T19:30:18.590Z,"1 km SW of Guánica, Puerto Rico",earthquake,0.66,0.72,0.181278360545419,3,reviewed,pr,pr
2023-01-01T19:14:28.310Z,40.422,-123.9731667,22.29,2.25,md,28,50,0.1128,0.15,nc,nc73827601,2023-01-02T07:01:11.483Z,"14km SE of Rio Dell, CA",earthquake,0.28,0.5,0.149,27,reviewed,nc,nc
2023-01-01T19:12:58.212Z,61.7997,-150.1258,9.5,1.7,ml,,,,0.89,ak,ak0231yxa2o,2023-01-18T21:27:01.051Z,"Southern Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-01T19:05:52.430Z,56.8133333333333,-158.0935,10.62,0.82,ml,4,264,,0.01,av,av91082833,2023-01-04T20:22:58.530Z,"35 km ESE of Port Heiden, Alaska",earthquake,1.08,0.41,0.381003440596271,4,reviewed,av,av
2023-01-01T19:03:06.178Z,2.0751,128.135,153.78,4.3,mb,20,94,1.506,0.57,us,us7000j3y3,2023-03-11T22:51:46.040Z,"40 km NNE of Tobelo, Indonesia",earthquake,13.68,8.348,0.188,8,reviewed,us,us
2023-01-01T19:02:43.340Z,56.855,-158.077666666667,6.73,0.51,ml,4,271,,0.11,av,av91082823,2023-01-04T20:14:38.650Z,"35 km ESE of Port Heiden, Alaska",earthquake,1.33,0.39,0.187402377020095,4,reviewed,av,av
2023-01-01T19:02:04.850Z,19.2024993896484,-155.399826049805,31.1200008392334,2.11999989,md,18,168,,0.109999999,hv,hv73291007,2023-01-01T19:05:08.150Z,"8 km E of P?hala, Hawaii",earthquake,0.77,0.959999979,2.11999989,4,automatic,hv,hv
2023-01-01T19:00:42.680Z,38.8231667,-122.8533333,2.95,1.27,md,41,56,0.005173,0.04,nc,nc73827596,2023-01-10T19:48:14.659Z,"10km WNW of The Geysers, CA",earthquake,0.14,0.21,0.102,7,reviewed,nc,nc
2023-01-01T18:55:10.180Z,40.429,-123.9966667,28.14,2.43,md,27,45,0.09547,0.09,nc,nc73827591,2023-01-02T06:46:11.409Z,"12km SE of Rio Dell, CA",earthquake,0.24,0.53,0.214,37,reviewed,nc,nc
2023-01-01T18:55:09.666Z,40.6042,-29.1424,10,4.7,mb,79,45,3.993,0.72,us,us7000j1gq,2023-03-11T22:51:30.040Z,"Azores Islands region",earthquake,10.68,1.856,0.07,62,reviewed,us,us
2023-01-01T18:48:06.890Z,19.1830005645752,-155.347503662109,30.0499992370605,2.27,ml,45,174,,0.159999996,hv,hv73290987,2023-01-01T18:53:36.700Z,"13 km E of P?hala, Hawaii",earthquake,0.61,0.74000001,2.89,10,automatic,hv,hv
2023-01-01T18:47:36.160Z,38.8139992,-122.8271637,1.94,0.76,md,10,103,0.00536,0.02,nc,nc73827586,2023-01-01T19:13:13.064Z,"7km WNW of The Geysers, CA",earthquake,0.4,0.8,0.33,10,automatic,nc,nc
2023-01-01T18:46:18.330Z,40.4341667,-124.0085,24.83,1.77,md,25,43,0.08736,0.1,nc,nc73827581,2023-01-02T05:44:12.077Z,"11km SE of Rio Dell, CA",earthquake,0.31,0.55,0.161,14,reviewed,nc,nc
2023-01-01T18:43:49.360Z,40.4303333,-124.014,24.31,2.06,md,27,43,0.08255,0.09,nc,nc73827576,2023-01-02T06:30:11.455Z,"11km SE of Rio Dell, CA",earthquake,0.23,0.44,0.168,23,reviewed,nc,nc
2023-01-01T18:42:22.182Z,36.8135,-104.8135,5,1.1,ml,4,209,0.042,0.07,us,us6000jkz0,2023-03-11T22:51:27.040Z,"34 km NNE of Cimarron, New Mexico",earthquake,2.72,1.915,0.128,8,reviewed,us,us
2023-01-01T18:35:04.510Z,40.409,-123.971,30.63,5.35,mw,37,44,0.1146,0.13,nc,nc73827571,2025-01-01T17:41:04.420Z,"15km SE of Rio Dell, CA",earthquake,0.25,0.62,,5,reviewed,nc,nc
2023-01-01T18:34:14.740Z,19.1401666666667,-156.197,38.49,3.77,ml,52,252,,0.11,hv,hv73290972,2023-03-11T22:51:30.040Z,"46 km W of Hawaiian Ocean View, Hawaii",earthquake,0.64,1.12,0.179969539975316,40,reviewed,hv,hv
2023-01-01T18:33:51.520Z,58.2535,-155.125833333333,1.53,-1,ml,4,211,,0.12,av,av91082768,2023-01-04T18:58:21.730Z,"85 km NNW of Karluk, Alaska",earthquake,0.68,2,0.152342946465536,4,reviewed,av,av
2023-01-01T18:27:49.590Z,51.9396666666667,179.599,8.74,1.23,ml,4,119,,0.11,av,av91082788,2023-01-04T19:30:42.990Z,"259 km W of Adak, Alaska",earthquake,0.71,0.91,0.331480488059285,4,reviewed,av,av
2023-01-01T18:26:42.628Z,-56.2415,-123.5343,10,5.8,mww,22,100,29.414,0.82,us,us7000j1u6,2023-03-11T22:51:35.040Z,"southern East Pacific Rise",earthquake,15.33,1.725,0.083,14,reviewed,us,us
2023-01-01T18:24:32.306Z,-2.5533,140.8007,30.83,5.5,mww,116,33,0.104,0.59,us,us7000j1g5,2023-03-11T22:51:30.040Z,"9 km ESE of Jayapura, Indonesia",earthquake,7.38,4.07,0.068,21,reviewed,us,us
2023-01-01T18:20:53.014Z,-60.8195,-51.0213,11.175,4.7,mb,29,63,3.926,0.7,us,us7000j3ya,2023-03-11T22:51:46.040Z,"Scotia Sea",earthquake,10.28,4.226,0.13,18,reviewed,us,us
2023-01-01T18:19:18.780Z,32.9163333,-116.2805,11.72,1.15,ml,36,49,0.04274,0.24,ci,ci40152751,2023-01-05T15:08:48.185Z,"26km ENE of Pine Valley, CA",earthquake,0.28,0.85,0.048,10,reviewed,ci,ci
2023-01-01T18:17:27.100Z,58.1865,-155.295833333333,2.14,-0.22,ml,7,98,,0.07,av,av91741266,2023-01-04T01:07:50.710Z,"84 km NW of Karluk, Alaska",earthquake,0.27,0.54,0.20501583647098,7,reviewed,av,av
2023-01-01T18:04:18.060Z,64.7245,-147.7459,14,1,ml,,,,0.83,ak,ak0231ya1jq,2024-01-18T19:07:58.035Z,"9 km SSE of South Van Horn, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-01T18:04:03.332Z,37.1538,-116.2802,8.4,1.1,ml,27,91.86,0.049,0.1288,nn,nn00854398,2023-01-03T18:47:27.381Z,"50 km ENE of Beatty, Nevada",earthquake,,0.9,0.36,20,reviewed,nn,nn
2023-01-01T18:02:46.952Z,60.9754,-147.41,10,1.4,ml,,,,0.71,ak,ak0231y9ofr,2024-01-18T19:07:56.529Z,"41 km WNW of Tatitlek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-01T17:58:51.112Z,-13.8596,166.5448,10,4.6,mb,20,157,6.995,0.32,us,us7000j3y9,2023-03-11T22:51:46.040Z,"108 km W of Sola, Vanuatu",earthquake,12.58,1.913,0.173,12,reviewed,us,us
2023-01-01T17:58:17.690Z,19.3883333333333,-155.278333333333,1.62,1.28,md,20,100,,0.21,hv,hv73290927,2023-01-04T23:32:26.820Z,"7 km SW of Volcano, Hawaii",earthquake,0.32,0.24,0.0284870291547019,3,reviewed,hv,hv
2023-01-01T17:57:40.076Z,31.61560972,-104.1165053,6.080151367,2.4,ml,16,87,0.03830120932,0.2,tx,tx2023abjo,2023-01-01T22:49:26.370Z,"45 km NW of Toyah, Texas",earthquake,0.8645147371,0.7892477961,0.2,11,reviewed,tx,tx
2023-01-01T17:56:51.540Z,33.4068333,-116.3713333,4.48,0.84,ml,17,95,0.06808,0.14,ci,ci40152743,2023-01-05T14:49:36.222Z,"17km N of Borrego Springs, CA",earthquake,0.22,0.71,0.115,4,reviewed,ci,ci
2023-01-01T17:54:04.206Z,66.3333,-157.407,7.2,1.4,ml,,,,0.65,ak,ak0231xzaqi,2023-01-23T17:35:51.000Z,"63 km S of Shungnak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
